event_id,country_name,iso_code,admin_division,disease_name,disease_subtype,disease_group,causal_agent_type,species_name,is_wild,epi_unit_type,is_domestic,is_aquatic,latitude,longitude,location_approx,event_started_on,event_confirmed_on,event_ended_on,outbreak_start_date,outbreak_end_date,last_occurrence,reported_on,susceptible,cases,deaths,killed,slaughtered,vaccinated,intervention_quarantine_applied,intervention_movement_control_applied,intervention_stamping_out_applied,intervention_disinfection_applied,intervention_surveillance_applied,intervention_screening_applied,intervention_disposal_applied,intervention_vaccination_applied,intervention_zoning_applied,intervention_vector_control_applied,intervention_wildlife_control_applied,intervention_traceability_applied,intervention_treatment_applied,intervention_slaughter_applied,intervention_count,lab_test_performed,diagnostic_method_types,event_status,reason_type
12,"Botswana","BWA","Kasane (2005-2010)","Foot and mouth disease ","SAT 1","Multiple species","Virus","Cattle",0,"Village",0,0,-17.9623661,24.67097092,0,"2006-06-01T00:00:00.000+00:00","2006-06-07T00:00:00.000+00:00","2006-07-31T00:00:00.000+00:00","2006-06-01T00:00:00.000+00:00","2006-07-31T00:00:00.000+00:00","2005-08-15T00:00:00.000+00:00","2007-01-16T00:00:00.000+00:00",2336,201,0,0,0,0,1,0,0,1,0,1,0,1,1,0,0,0,0,0,10,5,"Diagnostic test|Suspicion|Clinical","Resolved","Recurrence"
13,"Denmark","DNK","Fyns Amt (2005-2007)","Low pathogenic avian influenza (poultry)(2006-)","H5N3","Aves","Virus","Birds",0,"Farm",1,0,54.8689,10.7814,0,"2006-07-05T00:00:00.000+00:00","2006-07-05T00:00:00.000+00:00","2006-09-05T00:00:00.000+00:00","2006-07-19T00:00:00.000+00:00","2006-07-28T00:00:00.000+00:00","2006-06-02T00:00:00.000+00:00","2006-12-05T00:00:00.000+00:00",26780,0,0,26780,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,"Diagnostic test","Resolved","Recurrence"
14,"Ecuador","ECU","Azuay (2005-2007)","Vesicular stomatitis (-2014)","New Jersey","Multiple species","Virus","Cattle",0,"Farm",0,0,-3.16277,-79.215256,0,"2006-06-20T00:00:00.000+00:00","2006-06-20T00:00:00.000+00:00","2006-08-04T00:00:00.000+00:00","2006-06-20T00:00:00.000+00:00","2006-08-04T00:00:00.000+00:00","2006-03-02T00:00:00.000+00:00","2006-07-06T00:00:00.000+00:00",23,13,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,6,1,"Diagnostic test|Clinical","Resolved","Recurrence"
15,"Spain","ESP","Pais Vasco","Highly pathogenic avian influenza ","H5N1","Aves","Virus","Wildlife (species unspecified)",1,"Not applicable",0,0,42.8619,-2.6503,0,"2006-06-30T00:00:00.000+00:00","2006-07-07T00:00:00.000+00:00","2006-08-07T00:00:00.000+00:00","2006-06-30T00:00:00.000+00:00","2006-08-07T00:00:00.000+00:00",null,"2006-07-07T00:00:00.000+00:00",1,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,6,1,"Clinical|Diagnostic test","Resolved","First occurrence"
16,"Costa Rica","CRI","Limon","Avian infectious laryngotracheitis ",null,"Aves","Virus","Birds",0,"Farm",0,0,10.1278,-83.3555,0,"2006-05-29T00:00:00.000+00:00","2006-06-15T00:00:00.000+00:00","2006-06-15T00:00:00.000+00:00","2006-05-29T00:00:00.000+00:00","2006-06-15T00:00:00.000+00:00",null,"2006-09-22T00:00:00.000+00:00",646,280,34,334,0,0,1,1,1,0,0,1,0,0,1,0,0,0,0,0,10,1,"Diagnostic test|Clinical","Resolved","First occurrence"
17,"Canada","CAN","Manitoba","Small hive beetle Inf. (Aethina tumida)(2006-)",null,"Apidae","Parasite","Bees",0,"Apiary",1,0,51.156,-100.3014,0,"2006-05-24T00:00:00.000+00:00","2006-06-09T00:00:00.000+00:00","2006-08-16T00:00:00.000+00:00","2006-08-16T00:00:00.000+00:00","2006-08-16T00:00:00.000+00:00","2002-07-31T00:00:00.000+00:00","2006-09-14T00:00:00.000+00:00",1700,3,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,6,3,"Diagnostic test","Resolved","Recurrence"
18,"Canada","CAN","Ontario","Viral haemorrhagic septicaemia ",null,"Diseases of fish","Virus","Freshwater drum",0,"Lake",0,1,42.5826,-82.7716,0,"2006-05-10T00:00:00.000+00:00","2006-05-10T00:00:00.000+00:00","2006-07-14T00:00:00.000+00:00","2006-05-10T00:00:00.000+00:00","2006-07-14T00:00:00.000+00:00",null,"2006-07-12T00:00:00.000+00:00",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,"Diagnostic test|Clinical","Resolved","Listed disease occurring in a new host species"
19,"Thailand","THA","Nakhon Phanom","Highly pathogenic avian influenza ","H5N1","Aves","Virus","Birds",0,"Village",0,0,17.236,104.464799,0,"2006-07-16T00:00:00.000+00:00","2006-07-26T00:00:00.000+00:00","2006-08-02T00:00:00.000+00:00","2006-07-24T00:00:00.000+00:00","2006-08-02T00:00:00.000+00:00","2005-11-09T00:00:00.000+00:00","2006-11-07T00:00:00.000+00:00",5795,2272,2272,3523,0,0,1,1,1,1,0,1,0,0,1,0,0,0,0,0,12,6,"Necropsy|Diagnostic test|Clinical|Suspicion","Resolved","Recurrence"
20,"Israel","ISR","Hadarom","Lumpy skin disease ",null,"Bovidae","Virus","Cattle",0,"Farm",0,0,31.718107434,34.7284073422,0,"2006-06-20T00:00:00.000+00:00","2006-06-22T00:00:00.000+00:00","2006-09-03T00:00:00.000+00:00","2006-08-02T00:00:00.000+00:00","2006-09-03T00:00:00.000+00:00","1989-12-31T00:00:00.000+00:00","2006-09-03T00:00:00.000+00:00",875,192,0,192,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,3,"Diagnostic test|Clinical","Resolved","Recurrence"
21,"United States of America","USA","Wyoming","Vesicular stomatitis (-2014)","New Jersey","Multiple species","Virus","Cattle",0,"Farm",0,0,43.0283,-106.7483,0,"2006-08-13T00:00:00.000+00:00","2006-08-17T00:00:00.000+00:00","2006-12-19T00:00:00.000+00:00","2006-10-30T00:00:00.000+00:00","2006-12-19T00:00:00.000+00:00","2005-11-01T00:00:00.000+00:00","2006-12-26T00:00:00.000+00:00",938,12,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,4,6,"Diagnostic test|Clinical","Resolved","Recurrence"
22,"Belgium","BEL","Oost-Vlaanderen","Bluetongue ","8","Multiple species","Virus","Cattle",0,"Farm",0,0,51.02,3.85,0,"2006-08-18T00:00:00.000+00:00","2006-08-18T00:00:00.000+00:00","2006-12-13T00:00:00.000+00:00","2006-12-05T00:00:00.000+00:00","2006-12-13T00:00:00.000+00:00",null,"2006-12-14T00:00:00.000+00:00",20801,373,107,1,1,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,10,3,"Diagnostic test|Clinical","Resolved","First occurrence"
23,"France","FRA","Nord","Bluetongue ","8","Multiple species","Virus","Cattle",0,"Farm",0,0,50.79289,2.70767,0,"2006-08-28T00:00:00.000+00:00","2006-08-30T00:00:00.000+00:00","2007-06-11T00:00:00.000+00:00","2007-05-18T00:00:00.000+00:00","2007-06-11T00:00:00.000+00:00",null,"2007-06-11T00:00:00.000+00:00",4633,39,1,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,8,5,"Diagnostic test","Resolved","First occurrence"
24,"United Kingdom","GBR","Northern Ireland","Equine infectious anaemia ",null,"Equidae","Virus","Equidae",0,"Farm",0,0,54.76,-6.586,0,"2006-08-28T00:00:00.000+00:00","2006-09-01T00:00:00.000+00:00","2007-01-30T00:00:00.000+00:00","2006-08-28T00:00:00.000+00:00","2007-01-30T00:00:00.000+00:00",null,"2007-01-30T00:00:00.000+00:00",13,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"Diagnostic test","Resolved","First occurrence"
25,"Canada","CAN","Ontario","Spring viraemia of carp ",null,"Diseases of fish","Virus","Common carp",1,"Lake",0,1,43.28595,-79.84121,0,"2006-06-28T00:00:00.000+00:00","2006-09-13T00:00:00.000+00:00","2006-06-28T00:00:00.000+00:00","2006-06-28T00:00:00.000+00:00","2006-06-28T00:00:00.000+00:00",null,"2006-09-27T00:00:00.000+00:00",30,18,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,8,3,"Diagnostic test","Resolved","First occurrence"
26,"Algeria","DZA","El Bayadh","Bluetongue ","1","Multiple species","Virus","Sheep",0,"Farm",0,0,33.7581,1.2236,0,"2006-07-12T00:00:00.000+00:00","2006-07-19T00:00:00.000+00:00","2006-09-10T00:00:00.000+00:00","2006-07-15T00:00:00.000+00:00","2006-07-26T00:00:00.000+00:00","2000-07-31T00:00:00.000+00:00","2007-04-30T00:00:00.000+00:00",5245,263,36,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,2,"Diagnostic test","Resolved","Recurrence"
27,"Turkey","TUR","Tokat","Newcastle disease ",null,"Aves","Virus","Birds",0,"Village",0,0,40.279652,36.359501,0,"2006-08-07T00:00:00.000+00:00","2006-09-19T00:00:00.000+00:00","2007-01-09T00:00:00.000+00:00","2006-11-27T00:00:00.000+00:00","2007-01-09T00:00:00.000+00:00","2006-03-28T00:00:00.000+00:00","2007-01-10T00:00:00.000+00:00",668,114,95,162,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,"Clinical|Diagnostic test|Suspicion","Resolved","Recurrence"
28,"Luxembourg","LUX","Redange","American foulbrood of honey bees ",null,"Apidae","Bacterium","Bees",0,"Apiary",1,0,49.7798,5.93,0,"2006-09-01T00:00:00.000+00:00","2006-09-14T00:00:00.000+00:00","2006-09-20T00:00:00.000+00:00","2006-09-20T00:00:00.000+00:00","2006-09-20T00:00:00.000+00:00","2004-10-31T00:00:00.000+00:00","2006-09-20T00:00:00.000+00:00",25,6,0,25,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,6,0,"Diagnostic test|Clinical","Resolved","Recurrence"
29,"Bolivia","BOL","Chuquisaca","Classical swine fever ",null,"Suidae","Virus","Swine",0,"Farm",0,0,-19.744,-64.101,0,"2006-08-25T00:00:00.000+00:00","2006-09-12T00:00:00.000+00:00","2006-10-19T00:00:00.000+00:00","2006-09-22T00:00:00.000+00:00","2006-10-19T00:00:00.000+00:00","2005-11-04T00:00:00.000+00:00","2006-10-19T00:00:00.000+00:00",1320,3,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,8,1,"Diagnostic test|Clinical","Resolved","Recurrence"
30,"Germany","DEU","Niedersachsen","Bluetongue ","8","Multiple species","Virus","Wildlife (species unspecified)",1,"Farm",0,0,52.314211,8.067794,0,"2006-08-21T00:00:00.000+00:00","2006-08-21T00:00:00.000+00:00","2009-11-17T00:00:00.000+00:00","2007-01-16T00:00:00.000+00:00","2009-11-17T00:00:00.000+00:00",null,"2008-05-05T00:00:00.000+00:00",116,1,0,2,0,0,0,1,0,0,0,1,0,0,1,1,1,0,0,0,12,2,"Diagnostic test|Clinical","Resolved","First occurrence"
31,"France","FRA","Pyrénées-Orientales","West Nile Fever ",null,"Multiple species","Virus","Equidae",0,"Farm",0,0,42.623831,2.950386,0,"2006-09-25T00:00:00.000+00:00","2006-09-29T00:00:00.000+00:00","2007-04-07T00:00:00.000+00:00","2006-09-26T00:00:00.000+00:00","2007-04-07T00:00:00.000+00:00","2004-10-31T00:00:00.000+00:00","2008-07-17T00:00:00.000+00:00",62,4,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,2,"Suspicion|Clinical","Resolved","Recurrence"
32,"Azerbaijan","AZE","Devechi (2005-2009)","Anthrax ",null,"Multiple species","Bacterium","Cattle",0,"Farm",0,0,41.1551,48.8594,0,"2006-09-15T00:00:00.000+00:00","2006-09-19T00:00:00.000+00:00","2006-10-04T00:00:00.000+00:00","2006-09-15T00:00:00.000+00:00","2006-10-04T00:00:00.000+00:00","1996-12-31T00:00:00.000+00:00","2006-10-04T00:00:00.000+00:00",5,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"Clinical|Diagnostic test","Resolved","Recurrence"
33,"Germany","DEU","Hessen","Equine infectious anaemia ",null,"Equidae","Virus","Equidae",0,"Farm",0,0,49.7536,8.7222,0,"2006-09-19T00:00:00.000+00:00","2006-09-22T00:00:00.000+00:00","2007-10-10T00:00:00.000+00:00","2007-08-10T00:00:00.000+00:00","2007-10-10T00:00:00.000+00:00","2002-06-01T00:00:00.000+00:00","2008-04-29T00:00:00.000+00:00",168,8,2,19,0,0,1,1,1,1,0,1,0,0,0,1,0,0,0,0,12,1,"Diagnostic test|Clinical","Resolved","Recurrence"
34,"Romania","ROU","Mures","American foulbrood of honey bees ",null,"Apidae","Bacterium","Bees",0,"Apiary",1,0,46.533333,24.8,0,"2006-09-12T00:00:00.000+00:00","2006-10-16T00:00:00.000+00:00","2007-10-29T00:00:00.000+00:00","2006-10-16T00:00:00.000+00:00","2007-10-29T00:00:00.000+00:00","2006-09-11T00:00:00.000+00:00","2007-10-29T00:00:00.000+00:00",126,77,77,16,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,8,1,"Clinical|Diagnostic test","Resolved","Recurrence"
35,"United States of America","USA","Wisconsin","Contagious equine metritis ",null,"Equidae","Bacterium","Equidae",0,"Not applicable",0,0,42.9875,-89.3417,0,"2006-10-04T00:00:00.000+00:00","2006-10-04T00:00:00.000+00:00","2006-12-30T00:00:00.000+00:00","2006-10-04T00:00:00.000+00:00","2006-12-30T00:00:00.000+00:00","1979-12-31T00:00:00.000+00:00","2007-03-15T00:00:00.000+00:00",34,3,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,4,2,"Diagnostic test","Resolved","Recurrence"
36,"France","FRA","Deux-Sèvres","Newcastle disease ",null,"Aves","Virus","Birds",0,"Farm",0,0,46.622175,-0.249847,0,"2006-09-18T00:00:00.000+00:00","2006-09-22T00:00:00.000+00:00","2006-09-26T00:00:00.000+00:00","2006-09-18T00:00:00.000+00:00","2006-09-26T00:00:00.000+00:00","2005-11-30T00:00:00.000+00:00","2007-03-28T00:00:00.000+00:00",5250,0,0,5250,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,"Diagnostic test|Suspicion|Clinical","Resolved","Recurrence"
37,"Bulgaria","BGR","Burgas","Bluetongue ",null,"Multiple species","Virus","Cattle",0,"Village",0,0,41.9736,27.6556,0,"2006-10-11T00:00:00.000+00:00","2006-10-11T00:00:00.000+00:00","2008-03-27T00:00:00.000+00:00","2006-11-10T00:00:00.000+00:00","2008-03-27T00:00:00.000+00:00","2002-09-01T00:00:00.000+00:00","2008-03-27T00:00:00.000+00:00",249,14,0,0,0,0,1,1,0,1,0,1,0,0,1,1,0,0,0,0,12,1,"Diagnostic test","Resolved","Recurrence"
38,"Netherlands","NLD","Limburg","Bluetongue ","8","Multiple species","Virus","Cattle",0,"Farm",0,0,51.36,5.94,0,"2006-08-14T00:00:00.000+00:00","2006-08-17T00:00:00.000+00:00","2006-12-28T00:00:00.000+00:00","2006-12-28T00:00:00.000+00:00","2006-12-28T00:00:00.000+00:00",null,"2007-08-01T00:00:00.000+00:00",16676,613,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,8,3,"Diagnostic test|Clinical","Resolved","First occurrence"
39,"United Kingdom","GBR","Scotland","Newcastle disease ",null,"Aves","Virus","Birds",0,"Farm",0,0,56.0134,-2.4645,0,"2006-09-21T00:00:00.000+00:00","2006-10-13T00:00:00.000+00:00","2006-11-17T00:00:00.000+00:00","2006-09-21T00:00:00.000+00:00","2006-11-17T00:00:00.000+00:00","2005-07-01T00:00:00.000+00:00","2006-11-24T00:00:00.000+00:00",13396,500,500,0,12770,0,1,1,0,1,0,1,0,1,1,0,0,0,0,0,12,1,"Diagnostic test|Clinical","Resolved","Recurrence"
40,"Italy","ITA","Veneto","Newcastle disease ",null,"Aves","Virus","Birds",0,"Farm",0,0,45.8714,11.9124,0,"2006-08-01T00:00:00.000+00:00","2006-08-16T00:00:00.000+00:00","2006-11-14T00:00:00.000+00:00","2006-08-01T00:00:00.000+00:00","2006-11-14T00:00:00.000+00:00","2003-06-01T00:00:00.000+00:00","2006-12-05T00:00:00.000+00:00",83,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,"Diagnostic test|Necropsy","Resolved","Recurrence"
41,"Bulgaria","BGR","Dobric","Newcastle disease ",null,"Aves","Virus","Birds",0,"Village",0,0,43.7166,28.2359,0,"2006-01-15T00:00:00.000+00:00","2006-01-17T00:00:00.000+00:00","2008-03-27T00:00:00.000+00:00","2008-02-15T00:00:00.000+00:00","2008-03-27T00:00:00.000+00:00","2004-12-01T00:00:00.000+00:00","2008-03-27T00:00:00.000+00:00",4181,753,732,3449,0,0,1,1,1,1,0,0,0,1,1,0,0,0,0,0,12,6,"Diagnostic test|Necropsy|Clinical","Resolved","Recurrence"
42,"Czech Republic","CZE","Jihoceský","Infectious haematopoietic necrosis ",null,"Diseases of fish","Virus","Rainbow trout",1,"Farm",0,1,48.7328,14.5164,0,"2006-10-16T00:00:00.000+00:00","2006-10-27T00:00:00.000+00:00","2006-11-20T00:00:00.000+00:00","2006-10-16T00:00:00.000+00:00","2006-11-20T00:00:00.000+00:00","2003-01-01T00:00:00.000+00:00","2006-11-30T00:00:00.000+00:00",25000,900,250,0,0,0,0,1,1,1,1,0,1,0,0,0,0,1,0,0,20,1,"Clinical|Diagnostic test","Resolved","Recurrence"
43,"Bulgaria","BGR","Burgas","Classical swine fever ",null,"Suidae","Virus","Swine",0,"Farm",0,0,42.52,27.45,0,"2006-02-03T00:00:00.000+00:00","2006-02-07T00:00:00.000+00:00","2006-07-28T00:00:00.000+00:00","2006-07-28T00:00:00.000+00:00","2006-07-28T00:00:00.000+00:00","2004-05-01T00:00:00.000+00:00","2008-07-01T00:00:00.000+00:00",191,16,14,177,0,0,1,1,1,1,0,1,0,0,1,0,1,0,0,0,14,4,"Necropsy|Diagnostic test|Clinical","Resolved","Recurrence"
44,"Romania","ROU","Iasi","Newcastle disease ",null,"Aves","Virus","Birds",0,"Village",0,0,47.41,27.32,0,"2006-10-16T00:00:00.000+00:00","2006-10-24T00:00:00.000+00:00","2007-07-20T00:00:00.000+00:00","2007-06-05T00:00:00.000+00:00","2007-07-20T00:00:00.000+00:00","2006-06-15T00:00:00.000+00:00","2007-07-20T00:00:00.000+00:00",473971,142087,24642,117410,13082,0,1,1,1,1,0,1,0,0,1,0,0,0,0,0,14,3,"Diagnostic test|Clinical","Resolved","Recurrence"
45,"Italy","ITA","Sicilia","Bluetongue ","1","Multiple species","Virus","Cattle",0,"Farm",0,0,37.3838,14.5041,0,"2006-10-15T00:00:00.000+00:00","2006-10-30T00:00:00.000+00:00","2007-06-30T00:00:00.000+00:00","2007-02-02T00:00:00.000+00:00","2007-06-30T00:00:00.000+00:00",null,"2008-07-21T00:00:00.000+00:00",8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,"Diagnostic test|Clinical","Resolved","New strain"
46,"Germany","DEU","Sachsen","Highly pathogenic avian influenza ","H5N1","Aves","Virus","Wildlife (species unspecified)",1,"Not applicable",0,0,51.037512,13.754364,0,"2006-08-03T00:00:00.000+00:00","2006-08-04T00:00:00.000+00:00","2006-09-03T00:00:00.000+00:00","2006-08-03T00:00:00.000+00:00","2006-09-03T00:00:00.000+00:00","2006-05-19T00:00:00.000+00:00","2006-09-03T00:00:00.000+00:00",1,1,1,0,0,0,1,1,0,1,0,1,0,0,1,0,1,0,0,0,12,1,"Necropsy|Diagnostic test|Clinical","Resolved","Recurrence"
47,"Ecuador","ECU","Napo (2005-2007)","Classical swine fever ",null,"Suidae","Virus","Swine",0,"Farm",0,0,-0.8356,-77.1493,0,"2006-10-16T00:00:00.000+00:00","2006-10-16T00:00:00.000+00:00","2006-11-30T00:00:00.000+00:00","2006-10-16T00:00:00.000+00:00","2006-11-30T00:00:00.000+00:00","2004-01-01T00:00:00.000+00:00","2006-12-18T00:00:00.000+00:00",49,12,8,0,8,0,1,1,1,1,0,0,0,1,0,0,0,0,0,0,12,1,"Diagnostic test|Clinical","Resolved","Recurrence"
48,"Germany","DEU","Nordrhein-Westfalen","Classical swine fever ",null,"Suidae","Virus","Swine",0,"Farm",0,0,51.7715,6.8565,0,"2006-03-01T00:00:00.000+00:00","2006-03-03T00:00:00.000+00:00","2006-11-10T00:00:00.000+00:00","2006-04-01T00:00:00.000+00:00","2006-11-10T00:00:00.000+00:00","2003-02-19T00:00:00.000+00:00","2006-11-09T00:00:00.000+00:00",5662,366,139,5523,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,8,1,"Necropsy|Diagnostic test|Clinical","Resolved","Recurrence"
49,"Guinea","GIN","Siguiri","Foot and mouth disease ",null,"Multiple species","Virus","Cattle",0,"Farm",0,0,11.43,-9.182,0,"2006-10-14T00:00:00.000+00:00","2006-10-19T00:00:00.000+00:00","2006-12-20T00:00:00.000+00:00","2006-10-14T00:00:00.000+00:00","2006-12-13T00:00:00.000+00:00","2001-12-31T00:00:00.000+00:00","2007-03-02T00:00:00.000+00:00",229,37,12,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,4,0,"Clinical","Resolved","Recurrence"
